rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
167,Nabil El Gamil Dr. Tagmeel,"$1,146,553",-,-,"$1,146,553",100%
168,Dangerous Men,"$1,127,707",-,-,"$1,127,707",100%
169,Masz ci los!,"$1,111,717",-,-,"$1,111,717",100%
170,Marry My Dead Body,"$1,019,884",-,-,"$1,019,884",100%
171,Ramon,"$1,010,128",-,-,"$1,010,128",100%
172,Mixed by Erry,"$1,002,029",-,-,"$1,002,029",100%
173,Youssef Salem a du succès,"$999,559",-,-,"$999,559",100%
174,Irati,"$999,486",-,-,"$999,486",100%
175,Umami,"$981,574",-,-,"$981,574",100%
176,Na Twoim miejscu,"$968,337",-,-,"$968,337",100%
177,Kutoppen - På sporet,"$960,147",-,-,"$960,147",100%
178,The Devil Conspiracy,"$959,011","$765,218",79.8%,"$193,793",20.2%
179,Tina & Bettina 2: The Comeback,"$947,846",-,-,"$947,846",100%
180,Fireworks,"$944,137",-,-,"$944,137",100%
181,Oh My Goodness!,"$934,340",-,-,"$934,340",100%
182,Elvis 2023  Re-release,"$930,236",-,-,"$930,236",100%
183,Inside,"$897,190","$897,190",100%,-,-
184,Bonne conduite,"$877,324",-,-,"$877,324",100%
185,Un petit miracle,"$872,829",-,-,"$872,829",100%
186,Duda & Dada The Secret of HooHoo Island,"$852,867",-,-,"$852,867",100%
187,Wild Game,"$839,595",-,-,"$839,595",100%
188,Waltair Veerayya,"$838,855","$320,000",38.1%,"$518,855",61.9%
189,Nada Que Ver,"$832,212",-,-,"$832,212",100%
190,Tsarevny i Tainstvennaya gostya,"$806,448",-,-,"$806,448",100%
191,National Theatre Live: The Crucible,"$801,906",-,-,"$801,906",100%
192,Carrie and Superkola,"$799,320",-,-,"$799,320",100%
193,Paint,"$780,021","$780,021",100%,-,-
194,Let the River Flow,"$768,757",-,-,"$768,757",100%
195,Malikappuram,"$767,076",-,-,"$767,076",100%
196,Il ritorno di Casanova,"$756,271",-,-,"$756,271",100%
197,Taximetristi,"$741,181",-,-,"$741,181",100%
198,Munch,"$739,789",-,-,"$739,789",100%
199,Eskortnitsa,"$697,982",-,-,"$697,982",100%
200,Selfiee,"$689,309","$335,775",48.7%,"$353,534",51.3%
